ds,y
2020-09-26,1270138.0
2020-09-27,1262542.0
2020-09-28,1266625.0
2020-09-29,1263317.0
2020-09-30,1272398.0
2020-10-01,1292006.0
2020-10-02,1325675.0
2020-10-03,1350174.0
2020-10-04,1363870.0
2020-10-05,1373346.0
2020-10-06,1399423.0
2020-10-07,1433546.0
2020-10-08,1466334.0
2020-10-09,1478573.0
2020-10-10,1473163.0
2020-10-11,1461751.0
2020-10-12,1454450.0
2020-10-13,1443229.0
2020-10-14,1442551.0
2020-10-15,1443047.0
2020-10-16,1459783.0
2020-10-17,1469967.0
2020-10-18,1480544.0
2020-10-19,1492030.0
2020-10-20,1509886.0
2020-10-21,1534087.0
2020-10-22,1555819.0
2020-10-23,1573678.0
2020-10-24,1579442.0
2020-10-25,1578937.0
2020-10-26,1546554.0
2020-10-27,1513139.0
2020-10-28,1493571.0
2020-10-29,1512872.0
2020-10-30,1544508.0
2020-10-31,1565163.0
2020-11-01,1587304.0
2020-11-02,1635809.0
2020-11-03,1670300.0
2020-11-04,1697094.0
2020-11-05,1711425.0
2020-11-06,1737851.0
2020-11-07,1757630.0
2020-11-08,1769805.0
2020-11-09,1738983.0
2020-11-10,1722503.0
2020-11-11,1739185.0
2020-11-12,1743666.0
2020-11-13,1745469.0
2020-11-14,1739312.0
2020-11-15,1720709.0
2020-11-16,1699132.0
2020-11-17,1692640.0
2020-11-18,1686465.0
2020-11-19,1684248.0
2020-11-20,1683329.0
2020-11-21,1685878.0
2020-11-22,1685723.0
2020-11-23,1650261.0
2020-11-24,1621392.0
2020-11-25,1615203.0
2020-11-26,1613757.0
2020-11-27,1600166.0
2020-11-28,1589956.0
2020-11-29,1581876.0
2020-11-30,1556365.0
2020-12-01,1535609.0
2020-12-02,1536680.0
2020-12-03,1543980.0
2020-12-04,1558127.0
2020-12-05,1561965.0
2020-12-06,1565654.0
2020-12-07,1554828.0
2020-12-08,1554440.0
2020-12-09,1562983.0
2020-12-10,1600871.0
2020-12-11,1647180.0
2020-12-12,1686361.0
2020-12-13,1726611.0
2020-12-14,1768658.0
2020-12-15,1819354.0
2020-12-16,1880584.0
2020-12-17,1951324.0
2020-12-18,2037744.0
2020-12-19,2088258.0
2020-12-20,2170939.0
2020-12-21,2259336.0
2020-12-22,2329331.0
2020-12-23,2369486.0
2020-12-24,2278904.0
2020-12-25,2042215.0
2020-12-26,1994218.0
2020-12-27,1944890.0
2020-12-28,1703358.0
2020-12-29,1713639.0
2020-12-30,1764313.0
2020-12-31,1844345.0
2021-01-01,1937254.0
2021-01-02,2060341.0
2021-01-03,2097944.0
2021-01-04,2264180.0
2021-01-05,2240825.0
2021-01-06,2233170.0
2021-01-07,2325519.0
2021-01-08,2504542.0
2021-01-09,2467780.0
2021-01-10,2432063.0
2021-01-11,2380391.0
2021-01-12,2338292.0
2021-01-13,2284784.0
2021-01-14,2253039.0
2021-01-15,2226486.0
2021-01-16,2188168.0
2021-01-17,2152593.0
