ds,yhat,yhat_lower,yhat_upper,y
2020-07-23,664845.0621261332,517581.53748659225,808182.5168293277,610429.0
2020-07-24,677181.6712016122,535270.2236525262,830679.3017735749,612905.0
2020-07-25,683768.8124727404,539609.2959691285,825099.4325334495,614915.0
2020-07-26,686492.1273525691,534172.5961558319,826774.7946157608,618492.0
2020-07-27,685000.9907594614,544575.2184502563,835281.5631442295,628048.0
2020-07-28,687781.5682152107,551669.7329755087,835402.7423812685,645325.0
2020-07-29,695329.3068859696,546134.901834234,846368.2327158694,673109.0
2020-07-30,705167.2010734461,559033.535977694,844046.3230077467,694358.0
2020-07-31,715872.4358025056,562631.31059511,865913.8814525324,704480.0
2020-08-01,721446.4687946334,577153.5579874075,868127.7670165504,712506.0
2020-08-02,723794.1523176951,568163.7509648041,870658.6047047693,721480.0
2020-08-03,722564.709122875,569985.5517120911,858982.6610331826,735766.0
2020-08-04,726225.0672351532,584472.7976989746,872613.0193543516,753681.0
2020-08-05,735233.1971214135,595999.2806073505,875046.6950993296,771883.0
2020-08-06,747057.7646344886,596969.8641629947,885722.123367298,792236.0
2020-08-07,760206.6602840584,614722.9967986563,904631.3829908937,809075.0
2020-08-08,768599.407032555,617392.0061113234,917619.885613407,809554.0
2020-08-09,774048.9768292385,630970.7068430114,919089.5956939309,804301.0
2020-08-10,776105.7474646885,628484.8102467222,914624.6705219379,805265.0
2020-08-11,783134.0138710919,623820.4583948072,924058.8072175771,809237.0
2020-08-12,795488.6000024492,645935.0328931008,930082.4775116829,809612.0
2020-08-13,810537.7849763245,666732.8835559632,957125.6567962033,812650.0
2020-08-14,826695.0037318969,684543.4191233397,960980.0480468214,830119.0
2020-08-15,837794.2279623648,684072.7852578018,989559.9428924544,838907.0
2020-08-16,845574.4659415776,702266.3317466684,989191.1582542491,846297.0
2020-08-17,849526.030726884,716017.2361897154,987266.1712765327,854406.0
2020-08-18,857968.9196191482,714596.8944838169,1003125.1793105773,858547.0
2020-08-19,871230.793177422,732867.5832490715,1019261.6220887066,879283.0
2020-08-20,886670.7247061365,753646.8348043838,1029830.8258749443,902991.0
2020-08-21,902711.1544873758,761364.5419963044,1046937.7088196124,921080.0
2020-08-22,913212.9450187435,774641.7335485338,1064000.6121250787,928354.0
2020-08-23,919958.985078127,774423.5328524568,1059470.4511702831,931556.0
2020-08-24,922499.0179038837,776722.5311940928,1056295.2965077239,932523.0
2020-08-25,929226.0791588677,788217.7041702834,1076374.7625405914,936938.0
2020-08-26,940552.0913660442,795060.2815884711,1091631.826425691,934817.0
2020-08-27,953928.8574067012,808059.7703582373,1105440.3316616877,927034.0
2020-08-28,967876.9713284465,827315.0042666213,1114354.0045486295,919528.0
2020-08-29,976357.6353993757,834896.9335384482,1115877.3841792033,920523.0
2020-08-30,981252.9305320947,836729.7565969811,1124383.4340293042,924741.0
2020-08-31,982207.3181115142,830905.8813382188,1122571.9047921652,865812.0
2020-09-01,987700.8620736515,838754.0774460591,1132216.1813270068,884248.0
2020-09-02,998221.818211397,855551.9733506519,1150078.81123615,915432.0
2020-09-03,1011284.9283406757,866454.3856699122,1156071.0860628055,951206.0
2020-09-04,1025458.0233636408,874725.4533151767,1177988.2144010735,994956.0
2020-09-05,1034731.9991983438,880835.9749464251,1177025.2735152517,1017658.0
2020-09-06,1040999.7738896089,893957.0007231862,1193357.095890738,1031632.0
2020-09-07,1043897.0502555107,883848.4179715851,1179446.9489846393,1116844.0
2020-09-08,1051875.4008582053,917534.9852161512,1198246.8786487568,1127879.0
2020-09-09,1065375.334201504,924988.3647772595,1206282.3427565664,1146405.0
2020-09-10,1081845.671907489,940383.4883597839,1231447.2821021872,1172875.0
2020-09-11,1099771.8153141844,950863.7185280755,1258399.1112168157,1201599.0
2020-09-12,1113047.9221204002,963257.5665218855,1252349.2376337533,1205239.0
